Point ID,CriticalType,NodeId,Points:0,Points:1,Points:2,Points_Magnitude,RegionSize,RegionSpan,Scalar,VertexId
0,5,0,1,-2.38552e-09,0.000673567,1,0,0,0.00497968,0
1,0,1,0.999999,0.00124419,0.000341855,1,0,0,0.00348019,1
2,0,2,0.999993,0.00373257,0.00148615,1,0,0,0.00865293,2
3,0,3,0.999981,0.00622093,0.000959309,1,0,0,0.00627137,3
4,0,4,0.999962,0.00870925,0.000563084,1,0,0,0.00448025,4
5,0,5,0.999937,0.0111975,0.00193067,1,0,0,0.0106624,5
6,0,6,0.999906,0.0136857,0.00132056,1,0,0,0.00790439,6
7,0,7,0.999869,0.0161738,0.00208387,1,0,0,0.0113549,7
8,0,8,0.999826,0.0186618,0.000826444,1,0,0,0.00567076,8
9,0,9,0.999776,0.0211497,0.000227387,1,0,1,0.00296274,9
10,0,10,0.999721,0.0236375,0.000129871,1,0,1,0.00252192,10
11,0,11,0.999659,0.0261251,0.000256567,1,0,1,0.00309464,11
12,0,12,0.999591,0.0286126,0.000837408,1,0,1,0.00572032,12
13,0,13,0.999516,0.0310999,0.000899934,1,0,1,0.00600296,13
14,0,14,0.999436,0.0335869,0.00155594,1,0,1,0.00896842,14
15,0,15,0.999349,0.0360738,0.00121242,1,0,1,0.00741556,15
16,0,16,0.999256,0.0385605,0.000604447,1,0,1,0.00466723,16
17,0,17,0.999157,0.0410469,0.000366775,1,0,0,0.00359284,17
18,0,18,0.999052,0.0435331,0.000431807,1,0,1,0.00388681,18
19,0,19,0.998941,0.046019,0.00033059,1,0,1,0.00342927,19
20,0,20,0.998823,0.0485046,0.00174041,1,0,1,0.00980231,20
21,0,21,0.998699,0.0509899,0.000559232,1,0,0,0.00446283,21
22,0,22,0.998569,0.0534749,0.0018215,1,0,1,0.0101689,22
23,0,23,0.998433,0.0559595,0.00102825,1,0,1,0.00658302,23
24,0,24,0.998291,0.0584438,0.000689975,1,0,1,0.00505385,24
25,0,25,0.998142,0.0609278,0.0011222,1,0,1,0.00700772,25
26,0,26,0.997987,0.0634114,0.00122645,1,0,1,0.00747898,26
27,0,27,0.997827,0.0658946,0.00139788,1,0,1,0.0082539,27
28,0,28,0.99766,0.0683773,0.000580995,1,0,1,0.00456121,28
29,0,29,0.997486,0.0708597,0.00136658,1,0,2,0.00811242,29
30,0,30,0.997307,0.0733416,0.000695171,1,0,1,0.00507734,30
31,0,31,0.997121,0.0758231,0.0010747,1,0,1,0.00679299,31
32,0,32,0.99693,0.0783041,0.000753205,1,0,1,0.00533968,32
33,0,33,0.996732,0.0807846,0.0012674,1,0,1,0.00766409,33
34,0,34,0.996527,0.0832646,0.000335908,1,0,1,0.0034533,34
35,0,35,0.996317,0.085744,0.00103953,1,0,1,0.00663401,35
36,0,36,0.996101,0.088223,0.000224789,1,0,1,0.002951,36
37,0,37,0.995878,0.0907014,0.000849599,1,0,1,0.00577543,37
38,0,38,0.995649,0.0931793,0.000915449,1,1,1,0.0060731,38
39,0,39,0.995414,0.0956565,0.000725379,1,0,1,0.0052139,39
40,0,40,0.995173,0.0981332,0.000523763,1,0,1,0.0043025,40
41,0,41,0.994926,0.100609,0.000467971,1,0,1,0.00405029,41
42,0,42,0.994673,0.103085,0.00245482,1,0,1,0.0130318,42
43,0,43,0.994413,0.10556,0.000664784,1,0,1,0.00493998,43
44,0,44,0.994147,0.108034,0.000357542,1,0,0,0.0035511,44
45,0,45,0.993875,0.110507,0.000719306,1,0,0,0.00518644,45
46,0,46,0.993597,0.11298,0.000349612,1,0,1,0.00351525,46
47,0,47,0.993313,0.115452,0.00122291,1,0,1,0.00746299,47
48,0,48,0.993023,0.117924,1.90592e-05,1,0,1,0.002021,48
49,0,49,0.992726,0.120394,0.000386885,1,0,1,0.00368374,49
50,0,50,0.992424,0.122864,0.000270066,1,0,1,0.00315567,50
51,0,51,0.992115,0.125333,0.000736219,1,0,1,0.0052629,51
52,0,52,0.9918,0.127802,0.00150105,1,0,1,0.00872028,52
53,0,53,0.991479,0.130269,0.000478021,1,0,1,0.00409572,53
54,0,54,0.991151,0.132736,0.00119416,1,0,2,0.00733302,54
55,0,55,0.990818,0.135202,0.000704378,1,0,1,0.00511896,55
56,0,56,0.990479,0.137667,0.00159515,1,0,1,0.00914569,56
57,0,57,0.990133,0.140131,0.00150207,1,0,1,0.00872489,57
58,0,58,0.989781,0.142595,0.000551145,1,0,1,0.00442627,58
59,0,59,0.989423,0.145057,0.001119,1,0,1,0.00699323,59
60,0,60,0.989059,0.147519,0.00148552,1,0,1,0.00865007,60
61,0,61,0.988689,0.14998,0.000189354,1,0,0,0.00279081,61
62,0,62,0.988313,0.152439,0.000788618,1,0,1,0.00549977,62
63,0,63,0.98793,0.154898,0.000584722,1,0,1,0.00457806,63
64,0,64,0.987542,0.157356,0.000834628,1,0,1,0.00570775,64
65,0,65,0.987147,0.159813,0.00122039,1,0,2,0.00745156,65
66,0,66,0.986747,0.162269,0.000671606,1,0,1,0.00497082,66
67,0,67,0.98634,0.164724,0.00130909,1,0,0,0.00785252,67
68,0,68,0.985927,0.167178,0.0013569,1,0,1,0.00806868,68
69,0,69,0.985508,0.16963,0.00214506,1,0,1,0.0116315,69
70,0,70,0.985083,0.172082,0.000787548,1,0,0,0.00549493,70
71,0,71,0.984651,0.174533,0.000543864,1,0,0,0.00439336,71
72,0,72,0.984214,0.176983,0.000457251,1,0,1,0.00400183,72
73,0,73,0.98377,0.179431,0.00105825,1,0,1,0.00671863,73
74,0,74,0.983321,0.181879,0.00139716,1,0,1,0.00825067,74
75,0,75,0.982865,0.184325,0.00101041,1,0,0,0.00650238,75
76,0,76,0.982404,0.18677,0.00114412,1,0,0,0.00710678,76
77,0,77,0.981936,0.189214,0.00070342,1,0,1,0.00511463,77
78,0,78,0.981462,0.191657,0.000415812,1,0,0,0.00381451,78
79,0,79,0.980982,0.194099,0.000325074,1,0,2,0.00340433,79
80,0,80,0.980496,0.196539,0.000711644,1,0,0,0.00515181,80
81,0,81,0.980004,0.198978,0.000637069,1,0,1,0.0048147,81
82,0,82,0.979506,0.201416,0.000630009,1,0,1,0.00478278,82
83,0,83,0.979001,0.203853,0.00070292,1,0,1,0.00511237,83
84,0,84,0.978491,0.206289,0.000546162,1,0,1,0.00440375,84
85,0,85,0.977975,0.208723,0.00134801,1,0,1,0.00802846,85
86,0,86,0.977452,0.211156,0,1,0,0,0.00193484,86
87,0,87,0.976924,0.213588,0.000578838,1,0,1,0.00455146,87
88,0,88,0.976389,0.216018,0.00091742,1,0,1,0.00608201,88
89,0,89,0.975849,0.218447,0.000494903,1,0,0,0.00417204,89
90,0,90,0.975302,0.220874,0.00088043,1,0,1,0.0059148,90
91,0,91,0.97475,0.223301,0.00145628,1,0,1,0.00851791,91
92,0,92,0.974191,0.225726,0.000617372,1,0,1,0.00472565,92
93,0,93,0.973626,0.228149,0.0013665,1,0,1,0.00811205,93
94,0,94,0.973055,0.230571,0.000967375,1,0,1,0.00630783,94
95,0,95,0.972479,0.232992,0.000952507,1,0,1,0.00624062,95
96,0,96,0.971896,0.235411,0.00115159,1,0,0,0.00714058,96
97,0,97,0.971307,0.237829,0.000350404,1,0,1,0.00351883,97
98,0,98,0.970712,0.240245,0.000623206,1,0,2,0.00475202,98
99,0,99,0.970111,0.24266,0.00081419,1,0,1,0.00561536,99
100,1,100,0.220268,0.975439,0.111102,1.00615,0,0,0.504169,1084
101,1,101,0.462561,0.886588,0.102499,1.00524,0,0,0.465277,876
102,1,102,0.385986,0.922505,0.106258,1.00563,0,1,0.482272,944
103,1,103,-0.739945,0.672667,0.106357,1.00564,0,1,0.482719,1932
104,1,104,-0.818418,-0.574624,0.115247,1.00662,0,0,0.522904,3017
105,1,105,0.993737,0.111744,0.105263,1.00552,0,0,0.477771,144
106,1,106,0.975576,0.219661,0.110348,1.00607,1,1,0.50076,188
107,1,107,0.226332,0.97405,0.113303,1.0064,0,1,0.514116,1079
108,1,108,-0.972188,-0.234201,0.102048,1.00519,0,0,0.46324,2715
109,1,109,-0.953899,-0.300129,0.111839,1.00623,1,0,0.507499,2770
110,1,110,-0.0167958,-0.999859,0.121426,1.00735,0,0,0.550835,3774
111,1,111,0.439241,-0.898369,0.104242,1.00542,0,1,0.473158,4153
112,1,112,-0.0354521,0.999371,0.104459,1.00544,0,1,0.474136,1291
113,1,113,-0.287642,-0.957738,0.11406,1.00648,0,1,0.517537,3553
114,1,114,0.857078,0.515186,0.115032,1.00659,0,1,0.521932,435
115,1,115,0.899188,0.437563,0.104532,1.00545,0,0,0.474468,364
116,1,116,0.912869,0.408252,0.104703,1.00547,1,0,0.475242,338
117,1,117,-0.596308,-0.802756,0.10419,1.00541,0,0,0.47292,3274
118,1,118,-0.639339,-0.768925,0.115387,1.00664,0,0,0.523539,3230
119,1,119,-0.867783,-0.496944,0.0968784,1.00468,0,1,0.43987,2943
120,1,120,-0.56491,0.825153,0.112349,1.00629,0,0,0.509803,1745
