Point ID,Loss,points_0,points_1,points_2,points_Magnitude,RegionSize,RegionSpan,RegionType,SegmentationId
0,0.00497968,1,-2.38552e-09,0.000673567,1,0,0,4,39
1,0.00348019,0.999999,0.00124419,0.000341855,1,0,0.152505,0,11
2,0.00865293,0.999993,0.00373257,0.00148615,1,0,0.336602,0,89
3,0.00627137,0.999981,0.00622093,0.000959309,1,0,0.45491,0,62
4,0.00448025,0.999962,0.00870925,0.000563084,1,0,0.538552,0,28
5,0.0106624,0.999937,0.0111975,0.00193067,1,0,0.689469,0,96
6,0.00790439,0.999906,0.0136857,0.00132056,1,0,0.809394,0,80
7,0.0113549,0.999869,0.0161738,0.00208387,1,0,0.907947,0,97
8,0.00567076,0.999826,0.0186618,0.000826444,1,0,0.986302,0,53
9,0.00296274,0.999776,0.0211497,0.000227387,1,0,1.02374,0,5
10,0.00252192,0.999721,0.0236375,0.000129871,1,0,1.12734,0,2
11,0.00309464,0.999659,0.0261251,0.000256566,1,0,1.23326,0,6
12,0.00572032,0.999591,0.0286126,0.000837408,1,0,1.31852,0,55
13,0.00600296,0.999516,0.0310999,0.000899934,1,0,1.42107,0,58
14,0.00896842,0.999436,0.0335869,0.00155594,1,0,1.47572,0,92
15,0.00741556,0.999349,0.0360738,0.00121242,1,0,1.53378,0,74
16,0.00466723,0.999256,0.0385605,0.000604447,1,0,1.63078,0,32
17,0.00359284,0.999157,0.0410469,0.000366775,1,0,0.904755,0,15
18,0.00388681,0.999052,0.0435331,0.000431807,1,0,1.73448,0,18
19,0.00342927,0.998941,0.046019,0.00033059,1,0,1.75078,0,9
20,0.00980231,0.998823,0.0485046,0.00174041,1,0,1.82371,0,94
21,0.00446283,0.998699,0.0509899,0.000559232,1,0,0.998028,0,27
22,0.0101689,0.998569,0.0534749,0.0018215,1,0,1.87933,0,95
23,0.00658302,0.998433,0.0559595,0.00102825,1,0,1.90897,0,65
24,0.00505385,0.998291,0.0584438,0.000689975,1,0,1.93137,0,40
25,0.00700772,0.998142,0.0609278,0.0011222,1,0,1.95891,0,70
26,0.00747898,0.997987,0.0634114,0.00122645,1,0,1.97508,0,77
27,0.0082539,0.997827,0.0658946,0.00139788,1,0,1.99316,0,86
28,0.00456121,0.99766,0.0683773,0.000580995,1,0,1.99888,0,30
29,0.00811242,0.997486,0.0708597,0.00136658,1,0,2.00397,0,84
30,0.00507734,0.997307,0.0733416,0.000695171,1,0,1.78241,0,41
31,0.00679299,0.997121,0.0758231,0.0010747,1,0,1.99892,0,68
32,0.00533968,0.99693,0.078304,0.000753205,1,0,1.99633,0,49
33,0.00766409,0.996732,0.0807846,0.0012674,1,0,1.89427,0,78
34,0.0034533,0.996527,0.0832646,0.000335907,1,0,1.97962,0,10
35,0.00663401,0.996317,0.085744,0.00103953,1,0,1.9554,0,66
36,0.002951,0.996101,0.088223,0.000224789,1,0,1.93522,0,4
37,0.00577543,0.995878,0.0907014,0.000849599,1,0,1.67777,0,56
38,0.0060731,0.995649,0.0931793,0.000915449,1,1,1.33855,0,59
39,0.0052139,0.995414,0.0956565,0.000725379,1,0,1.88267,0,47
40,0.0043025,0.995173,0.0981332,0.000523763,1,0,1.83171,0,23
41,0.00405029,0.994926,0.100609,0.000467971,1,0,1.9923,0,20
42,0.0130318,0.994673,0.103085,0.00245482,1,0,1.88511,0,99
43,0.00493998,0.994413,0.10556,0.000664784,1,0,1.99831,0,37
44,0.0035511,0.994147,0.108034,0.000357542,1,0,0.328062,0,14
45,0.00518644,0.993875,0.110507,0.000719306,1,0,0.104551,0,46
46,0.00351525,0.993597,0.11298,0.000349612,1,0,1.88723,0,12
47,0.00746299,0.993313,0.115452,0.00122291,1,0,1.59391,0,76
48,0.002021,0.993023,0.117924,1.90592e-05,1,0,1.58104,0,1
49,0.00368374,0.992726,0.120394,0.000386885,1,0,1.51286,0,16
50,0.00315567,0.992424,0.122864,0.000270066,1,0,1.15559,0,7
51,0.00526289,0.992115,0.125333,0.000736219,1,0,1.45249,0,48
52,0.00872028,0.9918,0.127802,0.00150105,1,0,1.39485,0,90
53,0.00409572,0.991479,0.130269,0.000478021,1,0,1.37802,0,21
54,0.00733302,0.991151,0.132736,0.00119416,1,0,2.00331,0,73
55,0.00511896,0.990818,0.135202,0.000704378,1,0,1.67232,0,44
56,0.00914569,0.990479,0.137667,0.00159515,1,0,1.23876,0,93
57,0.00872489,0.990133,0.140131,0.00150207,1,0,1.76734,0,91
58,0.00442627,0.989781,0.142595,0.000551145,1,0,1.18214,0,26
59,0.00699323,0.989423,0.145057,0.001119,1,0,1.11187,0,69
60,0.00865007,0.989059,0.147519,0.00148552,1,0,1.95934,0,88
61,0.00279081,0.988689,0.14998,0.000189354,1,0,0.853653,0,3
62,0.00549977,0.988313,0.152439,0.000788618,1,0,1.93773,0,51
63,0.00457806,0.98793,0.154898,0.000584722,1,0,1.80688,0,31
64,0.00570775,0.987542,0.157356,0.000834628,1,0,1.1941,0,54
65,0.00745156,0.987147,0.159813,0.00122039,1,0,2.0006,0,75
66,0.00497082,0.986747,0.162269,0.000671606,1,0,1.88068,0,38
67,0.00785252,0.98634,0.164724,0.00130909,1,0,0.307677,0,79
68,0.00806868,0.985927,0.167178,0.0013569,1,0,1.40476,0,82
69,0.0116315,0.985508,0.16963,0.00214506,1,0,1.20066,0,98
70,0.00549493,0.985083,0.172082,0.000787548,1,0,0.297693,0,50
71,0.00439336,0.984651,0.174533,0.000543864,1,0,0.741683,0,24
72,0.00400183,0.984214,0.176983,0.000457251,1,0,1.65313,0,19
73,0.00671863,0.98377,0.179431,0.00105825,1,0,1.97355,0,67
74,0.00825067,0.983321,0.181879,0.00139716,1,0,1.49121,0,85
75,0.00650238,0.982865,0.184325,0.00101041,1,0,0.941319,0,64
76,0.00710678,0.982404,0.18677,0.00114412,1,0,0.836298,0,71
77,0.00511463,0.981936,0.189214,0.000703421,1,0,1.49464,0,43
78,0.00381451,0.981462,0.191657,0.000415812,1,0,0.732764,0,17
79,0.00340433,0.980982,0.194099,0.000325074,1,0,2.0026,0,8
80,0.00515181,0.980496,0.196539,0.000711644,1,0,0.515457,0,45
81,0.0048147,0.980004,0.198978,0.000637069,1,0,1.68983,0,36
82,0.00478278,0.979506,0.201416,0.000630009,1,0,1.29524,0,35
83,0.00511237,0.979001,0.203853,0.00070292,1,0,1.96211,0,42
84,0.00440375,0.978491,0.206289,0.000546162,1,0,1.83781,0,25
85,0.00802846,0.977975,0.208723,0.00134801,1,0,1.69898,0,81
86,0.00193484,0.977452,0.211156,0,1,0,0.668089,0,0
87,0.00455146,0.976924,0.213588,0.000578838,1,0,1.7486,0,29
88,0.00608201,0.976389,0.216018,0.00091742,1,0,1.72866,0,60
89,0.00417204,0.975849,0.218447,0.000494903,1,0,0.924566,0,22
90,0.0059148,0.975302,0.220874,0.00088043,1,0,1.66001,0,57
91,0.00851791,0.97475,0.223301,0.00145628,1,0,1.82696,0,87
92,0.00472565,0.974191,0.225725,0.000617372,1,0,1.74576,0,33
93,0.00811205,0.973626,0.228149,0.0013665,1,0,1.50711,0,83
94,0.00630783,0.973055,0.230571,0.000967375,1,0,1.88184,0,63
95,0.00624062,0.972479,0.232992,0.000952507,1,0,1.46955,0,61
96,0.00714058,0.971896,0.235411,0.00115159,1,0,0.384858,0,72
97,0.00351883,0.971307,0.237829,0.000350404,1,0,1.47294,0,13
98,0.00475202,0.970712,0.240245,0.000623206,1,0,2.00212,0,34
99,0.00561536,0.970111,0.24266,0.00081419,1,0,1.59135,0,52
100,0.793539,0.999997,0.00248839,0.175116,1.01522,4607,2.02527,1,159
101,0.577572,0.999988,0.00497676,0.12734,1.00808,10,1.9169,2,149
102,0.634498,0.999972,0.0074651,0.139933,1.00974,121,1.28633,2,168
103,1.78559,0.99995,0.00995339,0.394574,1.07503,4607,2.02527,1,159
104,0.604975,0.999923,0.0124416,0.133402,1.00886,10,0.562163,2,156
105,1.80689,0.999889,0.0149298,0.399285,1.07677,4607,2.02527,1,159
106,0.792187,0.999848,0.0174178,0.174816,1.01517,4607,2.02527,1,159
107,0.944311,0.999802,0.0199058,0.208469,1.0215,4607,2.02527,1,159
108,0.849097,0.999749,0.0223936,0.187406,1.01741,4607,2.02527,1,159
109,1.00561,0.99969,0.0248813,0.222029,1.02435,4607,2.02527,1,159
110,0.905855,0.999625,0.0273689,0.199962,1.0198,4607,2.02527,1,159
111,0.619951,0.999554,0.0298562,0.136715,1.0093,121,1.28633,2,168
112,0.92764,0.999477,0.0323434,0.204781,1.02075,4607,2.02527,1,159
113,1.01774,0.999393,0.0348304,0.224713,1.02494,4607,2.02527,1,159
